"state_id","code","name_en","name_ar","country_code","country_name","locale","status"
"113","ASH","Ash ShƒÅriqah","الشرقية","AE","United Arab Emirates","en","1"
"112","UQ","Umm al-Quwain","أم القيوين","AE","United Arab Emirates","en","1"
"111","SH","Sharjah","الشارقة","AE","United Arab Emirates","en","1"
"110","RK","Ras al-Khaimah","راس الخيمة","AE","United Arab Emirates","en","1"
"109","FU","Fujairah","الفجيرة","AE","United Arab Emirates","en","1"
"108","DU","Dubai","دبي","AE","United Arab Emirates","en","1"
"107","AJ","Ajman","عجمان","AE","United Arab Emirates","en","1"
"106","AZ","Abu Dhabi","أبو ظبي","AE","United Arab Emirates","en","1"
"105","الر","الرياض","الرياض","SA","Saudi Arabia","en","1"
"104","'AS","'Asir","عسير","SA","Saudi Arabia","en","1"
"103","MAK","Makkah","مكة المكرمة","SA","Saudi Arabia","en","1"
"102","KW-HAI","Hawalli","حولي","KW","Kuwait","en","1"
"101","KW-AH","Ahmadi","الأحمدي","KW","Kuwait","en","1"
"100","KW-MAK","Mubarak Al-Kabeer","مبارك الكبير","KW","Kuwait","en","1"
"99","KW-FA","Farwaniya","الفروانية","KW","Kuwait","en","1"
"98","KW-CG","Capital Governorate","العاصمة","KW","Kuwait","en","1"
"97","KW-JA","Jahra","الجهراء","KW","Kuwait","en","1"
"85","","Other Area","مناطق أخرى","QA","Qatar","en","1"
"84","","Jariyan Al Batnah","جريان الباطنة","QA","Qatar","en","1"
"83","","Al Wakrah","الوكرة","QA","Qatar","en","1"
"82","","Al Ghuwariyah","الغويرية","QA","Qatar","en","1"
"81","","Ash Shamal","الشمال","QA","Qatar","en","1"
"80","","Ar Rayyan","الريان","QA","Qatar","en","1"
"79","","Doha","الدوحة","QA","Qatar","en","1"
"78","","Al Khawr","الخور","QA","Qatar","en","1"
"77","","Al Jumayliyah","الجميلية","QA","Qatar","en","1"
"76","","Um Salal","أم صلال","QA","Qatar","en","1"
"75","","Um Sa'id","أم سعيد","QA","Qatar","en","1"
"74","","Musandam","مسندم","OM","Oman","en","1"
"73","","Masqat","مسقط","OM","Oman","en","1"
"72","","Az Zahirah","الزاهرة","OM","Oman","en","1"
"71","","Ash Sharqiyah","الشرقية","OM","Oman","en","1"
"70","","Al Wusta","الوسطى","OM","Oman","en","1"
"69","","Al Batinah","الباطنة","OM","Oman","en","1"
"68","","Ad Dakhiliyah","الداخلية","OM","Oman","en","1"
"67","","Ajman","عجمان","AE","United Arab Emirates","en","1"
"66","","Umm al Qaywayn","أم القيوين","AE","United Arab Emirates","en","1"
"65","","Ras Al Khaymah","راس الخيمة","AE","United Arab Emirates","en","1"
"64","","Dubai","دبي","AE","United Arab Emirates","en","1"
"63","","Ash ShƒÅriqah","الشرقية","AE","United Arab Emirates","en","1"
"62","","Al Fujayrah","الفجيرة","AE","United Arab Emirates","en","1"
"61","","Abu Dhabi","أبو ظبي","AE","United Arab Emirates","en","1"
"60","","Tabuk","تبوك","SA","Saudi Arabia","en","1"
"59","","Najran","نجران","SA","Saudi Arabia","en","1"
"58","","Makkah","مكة المكرمة","SA","Saudi Arabia","en","1"
"57","","Jizan","جيزان","SA","Saudi Arabia","en","1"
"56","","Ha'il","حائل","SA","Saudi Arabia","en","1"
"55","","Ash Sharqiyah (Eastern)","الشرقية","SA","Saudi Arabia","en","1"
"54","","Ar Riyad","الرياض","SA","Saudi Arabia","en","1"
"53","","Al Qasim","القصيم","SA","Saudi Arabia","en","1"
"52","","Al Madinah","نجران","SA","Saudi Arabia","en","1"
"51","","Al Jawf","الباحة","SA","Saudi Arabia","en","1"
"50","","Al Hudud ash Shamaliyah","الحدود الشمالية","SA","Saudi Arabia","en","1"
"49","","Al Bahah","الباحة","SA","Saudi Arabia","en","1"
"48","","'Asir","عسير","SA","Saudi Arabia","en","1"
"47","","Salman Port","ميناء سلمان","BH","Bahrain","en","1"
"46","","Bahrain International Airport","مطار البحرين الدولي","BH","Bahrain","en","1"
"45","","Madinat Isa","مدينة عيسى","BH","Bahrain","en","1"
"44","","Madinat Zayed","مدينة زايد","BH","Bahrain","en","1"
"43","","Madinat Hamad","مدينة حمد","BH","Bahrain","en","1"
"42","","Karzakan","كرزكان","BH","Bahrain","en","1"
"41","","Qal'at Al Bahrain","قلعة البحرين","BH","Bahrain","en","1"
"40","","Qalali","قلالي","BH","Bahrain","en","1"
"39","","Qarya Saar","القرية","BH","Bahrain","en","1"
"38","","Askar","عسكر","BH","Bahrain","en","1"
"37","","Adhari","عذاري","BH","Bahrain","en","1"
"36","","Daih Al Seef","ديح السيف","BH","Bahrain","en","1"
"35","","Sadad","سداد","BH","Bahrain","en","1"
"34","","Sanad","سند","BH","Bahrain","en","1"
"33","","Salmabad","سلماباد","BH","Bahrain","en","1"
"32","","Safala","سفالة","BH","Bahrain","en","1"
"31","","Sitrah","سترة","BH","Bahrain","en","1"
"30","","Ras Al Ruman","راس الرمان","BH","Bahrain","en","1"
"29","","Dumistan","دميستان","BH","Bahrain","en","1"
"28","","Dar Kulaib","دار كليب","BH","Bahrain","en","1"
"27","","Jazirat Al Nabi Saleh","جزيرة النبي صالح","BH","Bahrain","en","1"
"26","","Jazirat Al Muharrq","جزيرة المحرق","BH","Bahrain","en","1"
"25","","Jidd Hafs","جد حفص","BH","Bahrain","en","1"
"24","","Jidhafs","جدحفص","BH","Bahrain","en","1"
"23","","Tubli","تيبلي","BH","Bahrain","en","1"
"22","","Bani Jamrah","بني جمرة","BH","Bahrain","en","1"
"21","","Barbar","بربر","BH","Bahrain","en","1"
"20","","Um Al Naasan","أم النعسان","BH","Bahrain","en","1"
"19","","Al Hamalah","الهملة","BH","Bahrain","en","1"
"18","","Al Nuwaidrat","النويدرات","BH","Bahrain","en","1"
"17","","Al Manama","المنامة","BH","Bahrain","en","1"
"16","","Al Muharraq","المحرق","BH","Bahrain","en","1"
"15","","Al Malkiya","المالكية","BH","Bahrain","en","1"
"14","","Al Ghuraifa","الغريفة","BH","Bahrain","en","1"
"13","","Al Sanabis","السنابس","BH","Bahrain","en","1"
"12","","Al Zinj","الزنج","BH","Bahrain","en","1"
"11","","Al Zallaq","الزلاق","BH","Bahrain","en","1"
"10","","Al Riffa West","غرب الرفاع","BH","Bahrain","en","1"
"9","","Al Riffa East","شرق الرفاع","BH","Bahrain","en","1"
"8","","Al Dur","الدر","BH","Bahrain","en","1"
"7","","Al Duraaz","الدراز","BH","Bahrain","en","1"
"6","","Al Hidd","الحد","BH","Bahrain","en","1"
"5","","Al Juffair","الجفير","BH","Bahrain","en","1"
"4","","Al Jisrah","الجسرة","BH","Bahrain","en","1"
"3","","Al Jubailat","الجبيلات","BH","Bahrain","en","1"
"2","","Al Badii","البديع","BH","Bahrain","en","1"
"1","","Um Al Hasam","أم الحصم","BH","Bahrain","en","1"
